id,nome,preco,quantidade,descricao,total_vendas,quantidade_vendas
94,Licor de Banana com Canela,24.99,120,Um licor doce e cremoso sabor banana e canela,20,4
95,Licor de Limão com Mel,24.99,120,Um licor doce e cremoso sabor limão e mel,20,4
96,Licor de Tangerina,24.99,120,Um licor doce e cremoso sabor tangerina,20,4
97,Licor de Cacau,24.99,120,Um licor doce e cremoso sabor cacau,20,4
98,Licor de Canela com Laranja,24.99,120,Um licor doce e cremoso sabor canela e laranja,20,4
99,Licor de Hortelã-Pimenta,24.99,120,Um licor doce e cremoso sabor hortelã-pimenta,20,4
100,Licor de Mel com Pimenta,24.99,120,Um licor doce e cremoso sabor mel e pimenta,20,4
101,Licor de Laranja com Gengibre,24.99,120,Um licor doce e cremoso sabor laranja e gengibre,20,4
102,Licor de Limão com Gengibre,24.99,120,Um licor doce e cremoso sabor limão e gengibre,20,4
103,Licor de Maçã com Canela,24.99,120,Um licor doce e cremoso sabor maçã e canela,20,4
104,Licor de Abacaxi com Coco,24.99,120,Um licor doce e cremoso sabor abacaxi e coco,20,4
105,Licor de Cereja com Pimenta,24.99,120,Um licor doce e cremoso sabor cereja e pimenta,20,4
106,Licor de Pêssego com Canela,24.99,120,Um licor doce e cremoso sabor pêssego e canela,20,4
107,Licor de Limão com Baunilha,24.99,120,Um licor doce e cremoso sabor limão e baunilha,20,4
108,Licor de Ameixa com Cardamomo,24.99,120,Um licor doce e cremoso sabor ameixa e cardamomo,20,4
109,Licor de Maracujá com Gengibre,24.99,120,Um licor doce e cremoso sabor maracujá e gengibre,20,4
110,Licor de Morango com Hortelã,24.99,120,Um licor doce e cremoso sabor morango e hortelã,20,4
111,Licor de Amêndoa com Canela,24.99,120,Um licor doce e cremoso sabor amêndoa e canela,20,4
112,Licor de Chocolate com Pimenta,24.99,120,Um licor doce e cremoso sabor chocolate e pimenta,20,4
113,Licor de Caramelo com Flor de Sal,24.99,120,Um licor doce e cremoso sabor caramelo e flor de sal,20,4
114,Licor de Café com Canela,24.99,120,Um licor doce e cremoso sabor café e canela,20,4
115,Licor de Frutas Vermelhas com Baunilha,24.99,120,Um licor doce e cremoso sabor frutas vermelhas e baunilha,20,4
116,Licor de Cereja com Chocolate Branco,24.99,120,Um licor doce e cremoso sabor cereja e chocolate branco,20,4
117,Licor de Limão com Gengibre e Mel,24.99,120,Um licor doce e cremoso sabor limão e gengibre,20,4
118,Licor de Marula com Baunilha,24.99,120,Um licor doce e cremoso sabor marula e baunilha,20,4
119,Licor de Morango com Pimenta Rosa,24.99,120,Um licor doce e cremoso sabor morango e pimenta rosa,20,4
120,Licor de Cereja com Noz Moscada,24.99,120,Um licor doce e cremoso sabor cereja e noz moscada,20,4
121,Licor de Coco com Gengibre,24.99,120,Um licor doce e cremoso sabor coco e gengibre,20,4
122,Licor de Laranja com Cravo,24.99,120,Um licor doce e cremoso sabor laranja e cravo,20,4
123,Licor de Limão com Mel e Gengibre,24.99,120,Um licor doce e cremoso sabor limão e gengibre,20,4
124,Licor de Maçã com Pimenta Rosa,24.99,120,Um licor doce e cremoso sabor maçã e pimenta rosa,20,4
125,Licor de Abacaxi com Hortelã,24.99,120,Um licor doce e cremoso sabor abacaxi e hortelã,20,4
126,Licor de Maracujá com Canela,24.99,120,Um licor doce e cremoso sabor maracujá e canela,20,4
127,Licor de Amora com Gengibre,24.99,120,Um licor doce e cremoso sabor amora e gengibre,20,4
128,Licor de Cereja com Canela,24.99,120,Um licor doce e cremoso sabor cereja e canela,20,4
129,Licor de Pêssego com Baunilha,24.99,120,Um licor doce e cremoso sabor pêssego e baunilha,20,4
130,Licor de Limão com Alecrim,24.99,120,Um licor doce e cremoso sabor limão e alecrim,20,4
131,Licor de Abacaxi com Gengibre e Hortelã,24.99,120,Um licor doce e cremoso sabor abacaxi gengibre e hortelã,20,4
132,Licor de Cereja com Cardamomo,24.99,120,Um licor doce e cremoso sabor cereja e cardamomo,20,4
133,Licor de Maracujá com Coco,24.99,120,Um licor doce e cremoso sabor maracujá e coco,20,4
134,Licor de Cacau com Laranja,24.99,120,Um licor doce e cremoso sabor cacau e laranja,20,4
135,Licor de Morango com Coco,24.99,120,Um licor doce e cremoso sabor morango e coco,20,4
136,Licor de Amêndoa com Laranja,24.99,120,Um licor doce e cremoso sabor amêndoa e laranja,20,4
137,Licor de Coco com Caramelo,24.99,120,Um licor doce e cremoso sabor coco e caramelo,20,4
138,Licor de Laranja com Canela,24.99,120,Um licor doce e cremoso sabor laranja e canela,20,4
139,Licor de Mel com Ervas,24.99,120,Um licor doce e cremoso sabor mel e ervas,20,4
140,Licor de Tangerina com Gengibre,24.99,120,Um licor doce e cremoso sabor tangerina e gengibre,20,4
141,Licor de Maracujá com Limão,24.99,120,Um licor doce e cremoso sabor maracujá e limão,20,4
142,Licor de Cereja com Maracujá,24.99,120,Um licor doce e cremoso sabor cereja e maracujá,20,4
143,Licor de Chocolate com Amora,24.99,120,Um licor doce e cremoso sabor chocolate e amora,20,4
144,Licor de Limão com Tangerina,24.99,120,Um licor doce e cremoso sabor limão e tangerina,20,4
145,Licor de Ameixa com Canela,24.99,120,Um licor doce e cremoso sabor ameixa e canela,20,4
146,Licor de Coco com Limão,24.99,120,Um licor doce e cremoso sabor coco e limão,20,4
147,Licor de Cereja com Baunilha,24.99,120,Um licor doce e cremoso sabor cereja e baunilha,20,4
148,Licor de Café com Baunilha,24.99,120,Um licor doce e cremoso sabor café e baunilha,20,4
149,Licor de Limão com Cardamomo,24.99,120,Um licor doce e cremoso sabor limão e cardamomo,20,4
150,Licor de Maracujá com Hortelã,24.99,120,Um licor doce e cremoso sabor maracujá e hortelã,20,4
151,Licor de Pêssego com Caramelo,24.99,120,Um licor doce e cremoso sabor pêssego e caramelo,20,4
152,Licor de Tangerina com Canela,24.99,120,Um licor doce e cremoso sabor tangerina e canela,20,4
153,Licor de Chocolate com Cereja,24.99,120,Um licor doce e cremoso sabor chocolate e cereja,20,4
154,Licor de Maçã com Caramelo,24.99,120,Um licor doce e cremoso sabor maçã e caramelo,20,4
155,Licor de Maracujá com Mel,24.99,120,Um licor doce e cremoso sabor maracujá e mel,20,4
156,Licor de Limão com Coco,24.99,120,Um licor doce e cremoso sabor limão e coco,20,4
157,Licor de Cacau com Laranja e Pimenta,24.99,120,Um licor doce e cremoso sabor cacau laranja e pimenta,20,4
158,Licor de Framboesa com Gengibre,24.99,120,Um licor doce e cremoso sabor framboesa e gengibre,20,4
159,Licor de Cereja com Coco,24.99,120,Um licor doce e cremoso sabor cereja e coco,20,4
160,Licor de Limão com Canela e Mel,24.99,120,Um licor doce e cremoso sabor limão canela e mel,20,4
161,Licor de Maracujá com Laranja,24.99,120,Um licor doce e cremoso sabor maracujá e laranja,20,4
162,Licor de Tangerina com Caramelo,24.99,120,Um licor doce e cremoso sabor tangerina e caramelo,20,4
163,Licor de Cacau com Framboesa,24.99,120,Um licor doce e cremoso sabor cacau e framboesa,20,4
164,Licor de Limão com Cereja,24.99,120,Um licor doce e cremoso sabor limão e cereja,20,4
165,Licor de Maracujá com Canela,24.99,120,Um licor doce e cremoso sabor maracujá e canela,20,4
166,Licor de Cacau com Coco,24.99,120,Um licor doce e cremoso sabor cacau e coco,20,4
167,Licor de Laranja com Hortelã,24.99,120,Um licor doce e cremoso sabor laranja e hortelã,20,4
168,Licor de Limão com Cereja e Pimenta,24.99,120,Um licor doce e cremoso sabor limão cereja e pimenta,20,4
169,Licor de Tangerina com Maracujá,24.99,120,Um licor doce e cremoso sabor tangerina e maracujá,20,4
170,Licor de Cacau com Laranja e Canela,24.99,120,Um licor doce e cremoso sabor cacau laranja e canela,20,4
171,Licor de Cereja com Caramelo,24.99,120,Um licor doce e cremoso sabor cereja e caramelo,20,4
172,Licor de Limão com Framboesa,24.99,120,Um licor doce e cremoso sabor limão e framboesa,20,4
173,beb,2,3,boa,3,4
173,beb,2,3,boa,3,4
173,beb,2,3,boa,3,4
173,beb,2,3,boa,3,4
